fid,field_1,trap,trapnb,Unit,Unit_Class,Unit_code,Oc.detritu,Oc.caspius,Cx.theiler,Cx.pipiens,Cx.modestu,Cx.perexig,An.atropar,IShannon,Total_mosq,Riqueza_me,HIDRO_MEAN,HIDRO_ME_1,HIDRO_ME_2,HIDRO_ME_3,LULC_100,LULC_250,LULC_500,LULC_1000,LULC_2000,NDVI_100,NDVI_250,NDVI_500,NDVI_1000,NDVI_2000,DIST_RIO,DIST_ARROZ,DIST_urban,Norte,Oeste,LST_1
"56","18",M02,"18",Monte,Scrubland,"4",0.67,6.78,145,1.78,0,3.11,0.78,0.705809957,"1471",3,115.18,54.51,29.07,10.68,Pastizal,Pastizal,Pastizal,Matorral,Scrubland/forest,0.414852333,0.330826233,0.381203487,0.349146935,0.321961898,"15394","18689","3995",36.97956667,-6.48275,24.2409477233887
"57","19",M03,"19",Monte,Scrubland,"4",0.38,44.63,120.13,0.13,0.25,6.63,13.5,0.610589116,"1486",3,0,3.72,18.97,52.39,Matorral,Matorral,Matorral,Matorral,Scrubland/forest,0.483705936,0.412516583,0.394718315,0.382835341,0.394688221,"12694","15445","7378",36.97761194,-6.444776389,23.4491653442383
"58","20",M04,"20",Monte,Scrubland,"4",2.44,8.78,75.22,13.78,0.56,63.56,6.67,1.225008135,"1560",4.33,10.23,27.88,21.99,15.31,Matorral,Matorral,Matorral,Matorral,Scrubland/forest,0.386109866,0.431048046,0.452337628,0.41775133,0.355794589,"15819","18821","3737",36.98331667,-6.485166667,25.2938995361328
"59","21",M05,"21",Monte,Scrubland,"4",2.22,105.33,209.44,2.33,0,46.44,1.89,0.687998773,"3324",3.78,0,1.35,5.86,14.83,Matorral,Matorral,Matorral,Matorral,Scrubland/forest,0.338526271,0.419208868,0.418079365,0.443674511,0.438067638,"15063","17123","5338",36.98961667,-6.467166667,25.2281951904297
"60","22",M06,"22",Monte,Scrubland,"4",0.56,20.33,357.11,4.22,0,8.89,9.44,0.600833966,"3622",3.56,25.42,8.94,6.83,29.94,Matorral,Matorral,Matorral,Matorral,Scrubland/forest,0.312884003,0.395989925,0.437733431,0.449202088,0.435261744,"14127","16067","6405",36.98966667,-6.455166667,24.5884399414063
"61","23",M07,"23",Monte,Scrubland,"4",0.11,13.11,369.33,3,0,9.56,59.33,0.886846015,"4095",3.56,29.37,56.58,77.08,76.12,Pastizal,Pastizal,Pastizal,Matorral,Scrubland/forest,0.389286216,0.377630478,0.389480585,0.439283995,0.415817705,"12966","14964","7567",36.9878,-6.442166667,26.7091369628906
"62","24",M08,"24",Monte,Scrubland,"4",2.67,21.22,86.67,6.56,0,7,2.78,0.876222285,"1160",3.56,0,1.48,3.09,10.92,Matorral,Matorral,Matorral,Matorral,Scrubland/forest,0.448174924,0.442712399,0.428317336,0.437704249,0.422965741,"16484","18616","3766",36.99315361,-6.484699167,24.679220199585
"63","25",M09,"25",Monte,Scrubland,"4",1.11,17.22,35.22,9.44,0.11,17.56,5.67,1.114577897,"784",3.89,0.25,1.37,0.52,2.49,Matorral,Matorral,Matorral,Matorral,Scrubland/forest,0.336387236,0.37546172,0.382239826,0.382861105,0.394849321,"18898","19992","2006",37.00361667,-6.509166667,25.7556209564209
"64","26",M10,"26",Monte,Scrubland,"4",0.56,77.78,30.11,2,0,4.56,4.56,1.047890646,"1094",3.78,0,0.48,0.76,3.73,Matorral,Matorral,Matorral,Matorral,Hidrophilic vegetation,0.328092909,0.367862398,0.3968766,0.407464811,0.470471128,"18272","19812","2363",37.00106667,-6.502666667,25.8995552062988
"65","27",M11,"27",Monte,Scrubland,"4",0.89,52.11,124.67,9,0.56,34.33,17.56,1.122057933,"2160",4.22,0.51,0.69,0.82,24.37,Matorral,Matorral,Matorral,Matorral,Scrubland/forest,0.402147802,0.441827171,0.460872935,0.443839582,0.432811339,"14272","15989","6380",37.00028333,-6.456,26.0624046325684
